FacilityName,Hours,TAT,Footfalls
Bliss Medical Centre Moi Avenue,5pm,121.41,222.0
Bliss Medical Centre Moi Avenue,6pm,116.46,185.0
Bliss Medical Centre Moi Avenue,7pm,123.95,150.0
Bliss Medical Centre Moi Avenue,8pm,158.4,105.0
Bliss Medical Centre Moi Avenue,9pm,150.08,95.0
Bliss Medical Centre Moi Avenue,10pm,116.45,66.0
Bliss Medical Centre Moi Avenue,11pm,106.07,42.0
Bliss Medical Centre Kimilili,12am,0.0,0.0
Bliss Medical Centre Kimilili,1am,0.0,0.0
Bliss Medical Centre Kimilili,2am,0.0,0.0
Bliss Medical Centre Kimilili,3am,0.0,0.0
Bliss Medical Centre Kimilili,4am,0.0,0.0
Bliss Medical Centre Kimilili,5am,0.0,0.0
Bliss Medical Centre Kimilili,6am,0.0,0.0
Bliss Medical Centre Kimilili,7am,0.0,0.0
Bliss Medical Centre Kimilili,8am,0.0,0.0
Bliss Medical Centre Kimilili,9am,27.89,9.0
Bliss Medical Centre Kimilili,10am,35.49,49.0
Bliss Medical Centre Kimilili,11am,40.72,61.0
Bliss Medical Centre Kimilili,12pm,43.86,65.0
Bliss Medical Centre Kimilili,1pm,49.66,61.0
Bliss Medical Centre Kimilili,2pm,44.68,57.0
Bliss Medical Centre Kimilili,3pm,45.84,56.0
Bliss Medical Centre Kimilili,4pm,40.23,62.0
Bliss Medical Centre Kimilili,5pm,45.25,73.0
Bliss Medical Centre Kimilili,6pm,74.67,6.0
Bliss Medical Centre Kimilili,7pm,0.0,0.0
Bliss Medical Centre Kimilili,8pm,0.0,0.0
Bliss Medical Centre Kimilili,9pm,0.0,0.0
Bliss Medical Centre Kimilili,10pm,0.0,0.0
Bliss Medical Centre Kimilili,11pm,0.0,0.0
Bliss Medical Centre Kitale,12am,0.0,0.0
Bliss Medical Centre Kitale,1am,0.0,0.0
Bliss Medical Centre Kitale,2am,0.0,0.0
Bliss Medical Centre Kitale,3am,0.0,0.0
Bliss Medical Centre Kitale,4am,0.0,0.0
Bliss Medical Centre Kitale,5am,0.0,0.0
Bliss Medical Centre Kitale,6am,0.0,0.0
Bliss Medical Centre Kitale,7am,0.0,0.0
Bliss Medical Centre Kitale,8am,27.3,10.0
Bliss Medical Centre Kitale,9am,28.08,36.0
Bliss Medical Centre Kitale,10am,36.72,82.0
Bliss Medical Centre Kitale,11am,44.58,118.0
Bliss Medical Centre Kitale,12pm,46.53,141.0
Bliss Medical Centre Kitale,1pm,54.84,129.0
Bliss Medical Centre Kitale,2pm,54.95,99.0
Bliss Medical Centre Kitale,3pm,48.19,77.0
Bliss Medical Centre Kitale,4pm,42.57,79.0
Bliss Medical Centre Kitale,5pm,41.95,80.0
Bliss Medical Centre Kitale,6pm,81.4,5.0
Bliss Medical Centre Kitale,7pm,0.0,0.0
Bliss Medical Centre Kitale,8pm,0.0,0.0
Bliss Medical Centre Kitale,9pm,0.0,0.0
Bliss Medical Centre Kitale,10pm,0.0,0.0
Bliss Medical Centre Kitale,11pm,0.0,0.0
Bliss Medical Centre Nanyuki,12am,0.0,0.0
Bliss Medical Centre Nanyuki,1am,0.0,0.0
Bliss Medical Centre Nanyuki,2am,0.0,0.0
Bliss Medical Centre Nanyuki,3am,0.0,0.0
Bliss Medical Centre Nanyuki,4am,0.0,0.0
Bliss Medical Centre Nanyuki,5am,0.0,0.0
Bliss Medical Centre Nanyuki,6am,0.0,0.0
Bliss Medical Centre Nanyuki,7am,0.0,0.0
Bliss Medical Centre Nanyuki,8am,27.33,3.0
Bliss Medical Centre Nanyuki,9am,27.94,35.0
Bliss Medical Centre Nanyuki,10am,35.73,73.0
Bliss Medical Centre Nanyuki,11am,34.29,103.0
Bliss Medical Centre Nanyuki,12pm,37.66,116.0
Bliss Medical Centre Nanyuki,1pm,43.21,97.0
